! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Units|Zip_Code|
MMNV1|MT. MANSFIELD|44.52480|-72.81540|1190 meters|snowdepth|2024-01-04 21|60.960|cm|05672|
AVLV1|AVERILL|44.99880|-71.70980|519 meters|snowdepth|2024-01-04 22|15.240|cm|05907|
SRUN6|SOUTH RUSSELL|44.37550|-75.12210|243 meters|snowdepth|2024-01-04 12|12.700|cm|13684|
NY-SL-18|RUSSELL 4.1 SSE, NY|44.37554|-75.12216|243 meters|snowdepth|2024-01-04 12|11.430|cm|13684|
NWSM1|NEW SHARON|44.63520|-70.00020|142 meters|snowdepth|2024-01-04 12|10.160|cm|04955|
MMSV1|MOUNT MANSFIELD|44.53330|-72.83330|697 meters|snowdepth|2024-01-05 00|10.160|cm|05489|
ME-FR-4|NEW SHARON 2.0 NW, ME|44.66582|-70.02720|124 meters|snowdepth|2024-01-04 12|10.160|cm|04955|
ME-FR-2|TEMPLE 1.8 W, ME|44.68329|-70.26420|361 meters|snowdepth|2024-01-04 12|10.160|cm|04984|
GKBN3|GRAY KNOB|44.33260|-71.30930|1329 meters|snowdepth|2024-01-04 11|10.160|cm|00181|
ME-FR-22|FARMINGTON 4.8 NNW, ME|44.73396|-70.18007|205 meters|snowdepth|2024-01-04 14|8.890|cm|04938|
ME-AR-18|NEW SWEDEN 4.9 NNW, ME|47.01080|-68.14390|256 meters|snowdepth|2024-01-04 12|8.890|cm|04762|
WHFN6|WILMINGTON 2W|44.39310|-73.85890|614 meters|snowdepth|2024-01-04 13|7.620|cm|12997|
VT-OL-1|WESTFIELD 0.7 WNW, VT|44.89160|-72.44350|328 meters|snowdepth|2024-01-04 12|7.620|cm|05874|
TOPN6|TUPPER LAKE SUNMOUNT|44.23070|-74.43820|505 meters|snowdepth|2024-01-04 12|7.620|cm|12986|
TOPM1|TOPSFIELD|45.43530|-67.72130|192 meters|snowdepth|2024-01-04 12|7.620|cm|04490|
NY-JF-30|WEST CARTHAGE 0.3 ENE, NY|43.97493|-75.61640|239 meters|snowdepth|2024-01-04 12|7.620|cm|13619|
NY-FK-7|SARANAC LAKE 6.2 N, NY|44.41359|-74.15211|525 meters|snowdepth|2024-01-04 11|7.620|cm|12983|
MWN|MOUNT WASHINGTON|44.26670|-71.30000|1715 meters|snowdepth|2024-01-04 12|7.620|cm|00176|
ME-AR-41|CASTLE HILL 1.0 S, ME|46.70273|-68.21736|229 meters|snowdepth|2024-01-04 12|7.620|cm|04757|
MALN6|MALONE|44.84180|-74.30600|267 meters|snowdepth|2024-01-04 12|7.620|cm|12953|
LPLN6|LAKE PLACID 2 S|44.30420|-73.98390|572 meters|snowdepth|2024-01-04 11|7.620|cm|12946|
KMWN|MOUNT WASHINGTON|44.26666|-71.30000|1715 meters|snowdepth|2024-01-05 00|7.620|cm|00176|
JKMM1|JACKMAN|45.62600|-70.24600|369 meters|snowdepth|2024-01-04 12|7.620|cm|04945|
FARM1|FARMINGTON|44.68930|-70.15640|121 meters|snowdepth|2024-01-04 12|7.620|cm|04938|
CARM1|CARIBOU WFO|46.86810|-68.01250|191 meters|snowdepth|2024-01-04 12|7.620|cm|04736|
CAR|CARIBOU, ME|46.86830|-68.01360|187 meters|snowdepth|2024-01-04 12|7.620|cm|04736|
CAN-NB-29|SUSSEX 1.0 WNW - KWRC, CAN|45.72670|-65.52858|24 meters|snowdepth|2024-01-04 12|7.620|cm||
VT-WS-41|WARREN 2.8 E, VT|44.11205|-72.79885|554 meters|snowdepth|2024-01-04 12|5.080|cm|05674|
VT-ES-3|LUNENBURG 2.3 NNW, VT|44.49324|-71.70446|449 meters|snowdepth|2024-01-04 10|5.080|cm|05906|
VANM1|VAN BUREN|47.16640|-67.93960|140 meters|snowdepth|2024-01-04 12|5.080|cm|04785|
RGNM1|RANGELEY 2NW|44.98940|-70.67220|540 meters|snowdepth|2024-01-04 11|5.080|cm|04970|
PTBN3|PITTSBURG RESERVOIR|45.04690|-71.38300|405 meters|snowdepth|2024-01-04 12|5.080|cm|03592|
