! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Units|Zip_Code|
HTLN3|HERMIT LAKE SNOWPLOT|44.26130|-71.28330|1151 meters|snowdepth|2024-03-05 10|63.500|cm|00176|
MWN|MOUNT WASHINGTON|44.26670|-71.30000|1715 meters|snowdepth|2024-03-05 12|60.960|cm|00176|
HVCN3|HARVARD CABIN SNOWPLOT|44.26630|-71.27790|1067 meters|snowdepth|2024-03-05 10|60.960|cm|00176|
KMWN|MOUNT WASHINGTON|44.26666|-71.30000|1715 meters|snowdepth|2024-03-05 18|58.420|cm|00176|
CRNN3|CARTER NOTCH|44.25940|-71.19550|1008 meters|snowdepth|2024-03-05 12|55.880|cm|00168|
ZFHN3|ZEALAND FALLS HUT|44.19590|-71.49440|805 meters|snowdepth|2024-03-05 12|35.560|cm|03574|
LLHN3|LONESOME LAKE HUT|44.13820|-71.70310|846 meters|snowdepth|2024-03-05 12|30.480|cm|03251|
VT-CL-3|GROTON 4.4 WSW, VT|44.19440|-72.28240|519 meters|snowdepth|2024-03-05 11|29.210|cm|05046|
ME-FR-2|TEMPLE 1.8 W, ME|44.68329|-70.26420|361 meters|snowdepth|2024-03-05 12|29.210|cm|04984|
CAWN3|CRAWFORD NOTCH|44.21960|-71.41270|581 meters|snowdepth|2024-03-05 12|27.940|cm|03598|
GHMN3|PINKHAM NOTCH|44.25800|-71.25250|620 meters|snowdepth|2024-03-05 10|25.400|cm|00177|
HGHN6|HIGHMARKET|43.60510|-75.55430|552 meters|snowdepth|2024-03-05 11|22.860|cm|13325|
TMWN3|TAMWORTH 4|43.86390|-71.26610|164 meters|snowdepth|2024-03-05 12|20.320|cm|03886|
NH-CR-27|TAMWORTH 0.4 NNW, NH|43.86449|-71.26610|164 meters|snowdepth|2024-03-05 12|20.320|cm|03886|
NH-CR-26|CENTER SANDWICH 4.9 E, NH|43.80976|-71.34150|229 meters|snowdepth|2024-03-05 12|20.320|cm|03227|
ME-FR-22|FARMINGTON 4.8 NNW, ME|44.73396|-70.18007|205 meters|snowdepth|2024-03-05 14|20.320|cm|04938|
ESDN3|EAST SANDWICH|43.80990|-71.34250|224 meters|snowdepth|2024-03-05 11|20.320|cm|03227|
NH-CR-41|ALBANY 2.8 SW, NH|43.92648|-71.21556|204 meters|snowdepth|2024-03-05 13|19.050|cm|03818|
NH-CR-15|JACKSON 3.7 NW, NH|44.19069|-71.22598|363 meters|snowdepth|2024-03-05 12|19.050|cm|03846|
MMSV1|MOUNT MANSFIELD|44.53330|-72.83330|697 meters|snowdepth|2024-03-05 20|17.780|cm|05489|
ME-FR-4|NEW SHARON 2.0 NW, ME|44.66582|-70.02720|124 meters|snowdepth|2024-03-05 12|17.780|cm|04955|
FARM1|FARMINGTON|44.68930|-70.15640|121 meters|snowdepth|2024-03-05 12|17.780|cm|04938|
NH-CR-11|NORTH CONWAY 1.4 SSW, NH|44.03556|-71.14010|164 meters|snowdepth|2024-03-05 12|16.510|cm|03860|
PERV1|PERU|43.26670|-72.90000|557 meters|snowdepth|2024-03-05 12|12.700|cm|05148|
HUBN3|HUBBARD BROOK|43.93330|-71.71670|489 meters|snowdepth|2024-03-05 20|12.700|cm|03223|
AVLV1|AVERILL|44.99880|-71.70980|519 meters|snowdepth|2024-03-05 02|12.700|cm|05907|
TUPN6|TUPPER LAKE SNOW COURSE|44.10560|-74.53440|520 meters|snowdepth|2024-03-05 12|10.160|cm|12986|
RQLN6|RAQUETTE LAKE|43.80000|-74.66670|565 meters|snowdepth|2024-03-05 12|10.160|cm|12847|
MSRN3|MASCOMA RIVER|43.78330|-72.03330|428 meters|snowdepth|2024-03-05 20|10.160|cm|03266|
ME-FR-26|FARMINGTON 3.9 N, ME|44.72423|-70.15934|199 meters|snowdepth|2024-03-05 13|10.160|cm|04938|
LBKV1|LYE BROOK|43.05000|-73.03330|724 meters|snowdepth|2024-03-05 20|10.160|cm|05250|
BETM1|BETHEL 6 SSE|44.32000|-70.75680|243 meters|snowdepth|2024-03-05 12|10.160|cm|04255|
VT-OL-12|GREENSBORO 3.9 NNE, VT|44.63100|-72.28000|634 meters|snowdepth|2024-03-05 11|7.620|cm|05841|
ME-OX-2|HARTFORD 1.4 N, ME|44.39318|-70.34760|170 meters|snowdepth|2024-03-05 14|7.620|cm|04221|
ME-AR-18|NEW SWEDEN 4.9 NNW, ME|47.01080|-68.14390|256 meters|snowdepth|2024-03-05 12|7.620|cm|04762|
INDN6|INDIAN LAKE|43.75500|-74.27560|503 meters|snowdepth|2024-03-05 13|7.620|cm|12842|
HRSN6|HORSESHOE LAKE SNOW COURSE|44.13920|-74.57000|582 meters|snowdepth|2024-03-05 12|7.620|cm|12986|
GALN6|GALE SNOW COURSE|44.27220|-74.62970|494 meters|snowdepth|2024-03-05 12|7.620|cm|12980|
VT-RT-28|SHREWSBURY 0.8 W, VT|43.50806|-72.88238|445 meters|snowdepth|2024-03-05 12|6.350|cm|05738|
VT-WR-17|ROCHESTER 2.3 NE, VT|43.89418|-72.76992|614 meters|snowdepth|2024-03-05 12|5.080|cm|05767|
VT-BN-3|LANDGROVE 1.1 NNE, VT|43.29092|-72.83260|554 meters|snowdepth|2024-03-05 12|5.080|cm|05148|
RGNM1|RANGELEY 2NW|44.98940|-70.67220|540 meters|snowdepth|2024-03-05 11|5.080|cm|04970|
RANM1|RANGELEY|44.98910|-70.67190|540 meters|snowdepth|2024-03-05 11|5.080|cm|04970|
PEKN6|PECK LAKE|43.11500|-74.42360|430 meters|snowdepth|2024-03-05 12|5.080|cm|12078|
NY-HM-10|LAKE PLEASANT 2.3 WSW, NY|43.45490|-74.45287|536 meters|snowdepth|2024-03-05 12|5.080|cm|12108|
LPLN6|LAKE PLACID 2 S|44.30420|-73.98390|572 meters|snowdepth|2024-03-05 11|5.080|cm|12946|
LLKN6|LONG LAKE|43.98330|-74.45000|569 meters|snowdepth|2024-03-05 12|5.080|cm|12847|
JEFV1|JEFFERSONVILLE|44.58430|-72.78700|363 meters|snowdepth|2024-03-05 12|5.080|cm|05464|
DIFM1|DIXIFIELD|44.51870|-70.40780|136 meters|snowdepth|2024-03-05 12|5.080|cm|04224|
CORV1|CORINTH|44.00690|-72.31940|366 meters|snowdepth|2024-03-05 12|5.080|cm|05039|
BRLN3|BERLIN|44.45350|-71.18540|284 meters|snowdepth|2024-03-05 12|5.080|cm|03570|
VT-OL-1|WESTFIELD 0.7 WNW, VT|44.89160|-72.44350|328 meters|snowdepth|2024-03-05 12|3.810|cm|05874|
VT-OG-10|BRAINTREE 2.8 SW, VT|43.93570|-72.74830|490 meters|snowdepth|2024-03-05 12|3.810|cm|05060|
VT-WS-42|MORETOWN 2.1 N, VT|44.28026|-72.75654|276 meters|snowdepth|2024-03-05 13|2.540|cm|05602|
VT-WS-30|WOODBURY 3.4 NNW, VT|44.48825|-72.43258|495 meters|snowdepth|2024-03-05 12|2.540|cm|05681|
VT-WS-23|CABOT 2.3 E, VT|44.39807|-72.26570|617 meters|snowdepth|2024-03-05 12|2.540|cm|05647|
VT-WS-19|WATERBURY 3.0 NW, VT|44.36060|-72.80770|147 meters|snowdepth|2024-03-05 11|2.540|cm|05676|
SUTV1|SUTTON|44.61220|-72.04810|451 meters|snowdepth|2024-03-05 12|2.540|cm|05867|
RKWM1|MOOSEHEAD LAKE|45.58330|-69.71670|315 meters|snowdepth|2024-03-05 12|2.540|cm|04478|
