! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Units|Zip_Code|
MMNV1|MT. MANSFIELD|44.52480|-72.81540|1190 meters|snowdepth|2024-03-01 21|142.240|cm|05672|
MWN|MOUNT WASHINGTON|44.26670|-71.30000|1715 meters|snowdepth|2024-03-01 12|68.580|cm|00176|
KMWN|MOUNT WASHINGTON|44.26666|-71.30000|1715 meters|snowdepth|2024-03-02 00|66.040|cm|00176|
GKBN3|GRAY KNOB|44.33260|-71.30930|1329 meters|snowdepth|2024-03-01 09|58.420|cm|00181|
NY-OD-69|SHERRILL 0.6 NNE, NY|43.07798|-75.59418|156 meters|snowdepth|2024-03-01 12|41.910|cm|13461|
CAWN3|CRAWFORD NOTCH|44.21960|-71.41270|581 meters|snowdepth|2024-03-01 11|40.640|cm|03598|
ME-FR-2|TEMPLE 1.8 W, ME|44.68329|-70.26420|361 meters|snowdepth|2024-03-01 12|38.100|cm|04984|
VT-CL-3|GROTON 4.4 WSW, VT|44.19440|-72.28240|519 meters|snowdepth|2024-03-01 11|36.830|cm|05046|
HGHN6|HIGHMARKET|43.60510|-75.55430|552 meters|snowdepth|2024-03-01 11|35.560|cm|13325|
TMWN3|TAMWORTH 4|43.86390|-71.26610|164 meters|snowdepth|2024-03-01 12|30.480|cm|03886|
NY-MD-22|ONEIDA 0.4 NW, NY|43.08012|-75.66860|169 meters|snowdepth|2024-03-01 12|30.480|cm|13421|
NH-CR-27|TAMWORTH 0.4 NNW, NH|43.86449|-71.26610|164 meters|snowdepth|2024-03-01 12|30.480|cm|03886|
MMSV1|MOUNT MANSFIELD|44.53330|-72.83330|697 meters|snowdepth|2024-03-02 00|30.480|cm|05489|
GHMN3|PINKHAM NOTCH|44.25800|-71.25250|620 meters|snowdepth|2024-03-01 10|30.480|cm|00177|
NH-CR-26|CENTER SANDWICH 4.9 E, NH|43.80976|-71.34150|229 meters|snowdepth|2024-03-01 12|27.940|cm|03227|
ME-FR-4|NEW SHARON 2.0 NW, ME|44.66582|-70.02720|124 meters|snowdepth|2024-03-01 12|27.940|cm|04955|
ME-FR-22|FARMINGTON 4.8 NNW, ME|44.73396|-70.18007|205 meters|snowdepth|2024-03-01 14|27.940|cm|04938|
ESDN3|EAST SANDWICH|43.80990|-71.34250|224 meters|snowdepth|2024-03-01 11|27.940|cm|03227|
NH-CR-15|JACKSON 3.7 NW, NH|44.19069|-71.22598|363 meters|snowdepth|2024-03-01 12|26.670|cm|03846|
FARM1|FARMINGTON|44.68930|-70.15640|121 meters|snowdepth|2024-03-01 12|25.400|cm|04938|
AVLV1|AVERILL|44.99880|-71.70980|519 meters|snowdepth|2024-03-01 22|25.400|cm|05907|
RGNM1|RANGELEY 2NW|44.98940|-70.67220|540 meters|snowdepth|2024-03-01 11|22.860|cm|04970|
NH-CR-11|NORTH CONWAY 1.4 SSW, NH|44.03556|-71.14010|164 meters|snowdepth|2024-03-01 12|22.860|cm|03860|
BRLN3|BERLIN|44.45350|-71.18540|284 meters|snowdepth|2024-03-01 12|22.860|cm|03570|
RANM1|RANGELEY|44.98910|-70.67190|540 meters|snowdepth|2024-03-01 11|20.320|cm|04970|
NH-MR-60|SOUTH SUTTON 1.3 SE, NH|43.29531|-71.90238|180 meters|snowdepth|2024-03-01 13|20.320|cm|03278|
NH-MR-6|DANBURY 2.2 ESE, NH|43.52000|-71.81900|297 meters|snowdepth|2024-03-01 13|20.320|cm|03243|
HUBN3|HUBBARD BROOK|43.93330|-71.71670|489 meters|snowdepth|2024-03-02 00|20.320|cm|03223|
VT-WS-7|MIDDLESEX 3.1 ENE, VT|44.31799|-72.62650|413 meters|snowdepth|2024-03-01 13|19.050|cm|05602|
