! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Units|Zip_Code|
MMNV1|MT. MANSFIELD|44.52480|-72.81540|1190 meters|snowdepth|2023-04-02 20|200.660|cm|05672|
GKBN3|GRAY KNOB|44.33260|-71.30930|1329 meters|snowdepth|2023-04-02 12|149.860|cm|00181|
CAN-NB-154|EDMUNDSTON 3.7 NE, CAN|47.38935|-68.30324|158 meters|snowdepth|2023-04-02 11|84.074|cm||
ME-AR-18|NEW SWEDEN 4.9 NNW, ME|47.01080|-68.14390|256 meters|snowdepth|2023-04-02 11|76.200|cm|04762|
VT-OL-12|GREENSBORO 3.9 NNE, VT|44.63100|-72.28000|634 meters|snowdepth|2023-04-02 10|71.120|cm|05841|
MMSV1|MOUNT MANSFIELD|44.53330|-72.83330|697 meters|snowdepth|2023-04-02 18|68.580|cm|05489|
CAN-NB-97|NEW MARYLAND 0.6 NW, CAN|45.90112|-66.68739|122 meters|snowdepth|2023-04-02 13|68.072|cm||
VT-WR-2|POMFRET 2.6 N, VT|43.74230|-72.52550|468 meters|snowdepth|2023-04-02 11|58.420|cm|05068|
ME-FR-2|TEMPLE 1.8 W, ME|44.68329|-70.26420|361 meters|snowdepth|2023-04-02 11|57.150|cm|04984|
VT-WS-7|MIDDLESEX 3.1 ENE, VT|44.31799|-72.62650|413 meters|snowdepth|2023-04-02 13|55.880|cm|05602|
BRAM1|BRASSUA DAM|45.66020|-69.81190|318 meters|snowdepth|2023-04-02 11|53.340|cm|04478|
NH-CR-15|JACKSON 3.7 NW, NH|44.19069|-71.22598|363 meters|snowdepth|2023-04-02 11|52.070|cm|03846|
NH-CR-26|CENTER SANDWICH 4.9 E, NH|43.80976|-71.34150|229 meters|snowdepth|2023-04-02 11|50.800|cm|03227|
LPLN6|LAKE PLACID 2 S|44.30420|-73.98390|572 meters|snowdepth|2023-04-02 11|50.800|cm|12946|
GHMN3|PINKHAM NOTCH|44.25800|-71.25250|620 meters|snowdepth|2023-04-02 09|50.800|cm|00177|
FISM1|FORT KENT COOP|47.23850|-68.61240|198 meters|snowdepth|2023-04-02 11|50.800|cm|04743|
ESDN3|EAST SANDWICH|43.80990|-71.34250|224 meters|snowdepth|2023-04-02 10|50.800|cm|03227|
RKWM1|MOOSEHEAD LAKE|45.58330|-69.71670|315 meters|snowdepth|2023-04-02 11|48.260|cm|04478|
NH-MR-60|SOUTH SUTTON 1.3 SE, NH|43.29531|-71.90238|180 meters|snowdepth|2023-04-02 12|48.260|cm|03278|
LBKV1|LYE BROOK|43.05000|-73.03330|724 meters|snowdepth|2023-04-03 00|48.260|cm|05250|
HGHN6|HIGHMARKET|43.60510|-75.55430|552 meters|snowdepth|2023-04-02 11|48.260|cm|13325|
CORV1|CORINTH|44.00690|-72.31940|366 meters|snowdepth|2023-04-02 11|48.260|cm|05039|
VT-BN-12|STAMFORD 5.0 NNE, VT|42.82000|-73.02000|689 meters|snowdepth|2023-04-02 20|45.720|cm|05352|
VANM1|VAN BUREN|47.16600|-67.93900|138 meters|snowdepth|2023-04-02 11|45.720|cm|04785|
NY-ES-6|OLMSTEDVILLE 4.6 NNE, NY|43.83350|-73.89780|462 meters|snowdepth|2023-04-02 12|45.720|cm|12857|
NCBN6|NEWCOMB|43.97070|-74.22200|506 meters|snowdepth|2023-04-02 12|45.720|cm|12852|
CARM1|CARIBOU WFO|46.86810|-68.01250|191 meters|snowdepth|2023-04-02 12|45.720|cm|04736|
VT-WR-17|ROCHESTER 2.3 NE, VT|43.89418|-72.76992|614 meters|snowdepth|2023-04-02 11|44.450|cm|05767|
NY-HM-10|LAKE PLEASANT 2.3 WSW, NY|43.45490|-74.45287|536 meters|snowdepth|2023-04-02 11|43.180|cm|12108|
NY-HM-1|SPECULATOR 10.0 SSW, NY|43.45133|-74.47120|520 meters|snowdepth|2023-04-02 11|43.180|cm|12108|
MWN|MOUNT WASHINGTON|44.26670|-71.30000|1715 meters|snowdepth|2023-04-02 12|43.180|cm|00176|
KMWN|MOUNT WASHINGTON|44.26666|-71.30000|1715 meters|snowdepth|2023-04-03 00|43.180|cm|00176|
VT-WS-30|WOODBURY 3.4 NNW, VT|44.48825|-72.43258|495 meters|snowdepth|2023-04-02 11|41.910|cm|05681|
NY-WR-21|BRANT LAKE 1.7 ENE, NY|43.68223|-73.71838|383 meters|snowdepth|2023-04-02 11|41.910|cm|12815|
NH-GR-49|PLYMOUTH 3.7 N, NH|43.79048|-71.68413|265 meters|snowdepth|2023-04-02 11|41.910|cm|03223|
SUTV1|SUTTON|44.61220|-72.04810|451 meters|snowdepth|2023-04-02 11|40.640|cm|05867|
ME-FR-4|NEW SHARON 2.0 NW, ME|44.66582|-70.02720|124 meters|snowdepth|2023-04-02 11|40.640|cm|04955|
NY-FK-7|SARANAC LAKE 6.2 N, NY|44.41359|-74.15211|525 meters|snowdepth|2023-04-02 11|38.100|cm|12983|
JKMM1|JACKMAN|45.62600|-70.24600|369 meters|snowdepth|2023-04-02 11|38.100|cm|04945|
INDN6|INDIAN LAKE|43.75500|-74.27560|503 meters|snowdepth|2023-04-02 12|38.100|cm|12842|
DFXM1|DOVER-FOXCROFT|45.18720|-69.18350|99 meters|snowdepth|2023-04-02 11|38.100|cm|04426|
CAN-NB-64|KESWICK RIDGE 4.0 SE, CAN|45.97014|-66.85538|95 meters|snowdepth|2023-04-02 11|38.100|cm||
VT-BN-3|LANDGROVE 1.1 NNE, VT|43.29092|-72.83260|554 meters|snowdepth|2023-04-02 11|35.560|cm|05148|
HUBN3|HUBBARD BROOK|43.93330|-71.71670|489 meters|snowdepth|2023-04-03 00|35.560|cm|03223|
NY-HM-8|LONG LAKE 1.2 N, NY|43.99070|-74.41880|555 meters|snowdepth|2023-04-02 11|34.290|cm|12847|
VT-OL-1|WESTFIELD 0.7 WNW, VT|44.89160|-72.44350|328 meters|snowdepth|2023-04-02 11|33.020|cm|05874|
PERV1|PERU|43.26670|-72.90000|557 meters|snowdepth|2023-04-02 11|33.020|cm|05148|
ME-FR-22|FARMINGTON 4.8 NNW, ME|44.73396|-70.18007|205 meters|snowdepth|2023-04-02 13|33.020|cm|04938|
EAHV1|EAST HAVEN|44.64250|-71.89120|300 meters|snowdepth|2023-04-02 11|33.020|cm|05837|
CAN-NB-1|FREDERICTON 4.0 SSE, CA|45.92897|-66.62830|68 meters|snowdepth|2023-04-02 11|33.020|cm||
VT-OL-9|GREENSBORO 2.1 NNW, VT|44.60528|-72.30940|461 meters|snowdepth|2023-04-02 11|30.480|cm|05841|
RGNM1|RANGELEY 2NW|44.98940|-70.67220|540 meters|snowdepth|2023-04-02 12|30.480|cm|04970|
NY-ES-11|VERMONTVILLE 2.8 S, NY|44.41205|-74.06760|517 meters|snowdepth|2023-04-02 11|30.480|cm|12983|
NH-MR-45|NORTHFIELD 2.8 E, NH|43.43945|-71.53730|199 meters|snowdepth|2023-04-02 11|30.480|cm|03276|
NH-CR-41|ALBANY 2.8 SW, NH|43.92648|-71.21556|204 meters|snowdepth|2023-04-02 12|30.480|cm|03818|
MSRN3|MASCOMA RIVER|43.78330|-72.03330|428 meters|snowdepth|2023-04-03 00|30.480|cm|03266|
JEFV1|JEFFERSONVILLE|44.58430|-72.78700|363 meters|snowdepth|2023-04-02 11|30.480|cm|05464|
NH-HL-103|TEMPLE 1.2 ENE, NH|42.82600|-71.82923|282 meters|snowdepth|2023-04-02 11|29.210|cm|03084|
NH-CR-50|WOLFEBORO 1.5 SE, NH|43.57323|-71.18942|213 meters|snowdepth|2023-04-02 11|29.210|cm|03894|
NH-CR-27|TAMWORTH 0.4 NNW, NH|43.86449|-71.26610|164 meters|snowdepth|2023-04-02 11|29.210|cm|03886|
NH-CR-11|NORTH CONWAY 1.4 SSW, NH|44.03556|-71.14010|164 meters|snowdepth|2023-04-02 11|29.210|cm|03860|
VT-OL-26|CRAFTSBURY COMMON 0.8 NW, VT|44.66338|-72.39245|278 meters|snowdepth|2023-04-02 11|27.940|cm|05827|
TMWN3|TAMWORTH 4|43.86390|-71.26610|164 meters|snowdepth|2023-04-02 11|27.940|cm|03886|
NY-ES-12|SARANAC LAKE 2.7 SSE, NY|44.29104|-74.10437|474 meters|snowdepth|2023-04-02 12|27.940|cm|12983|
