! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Units|Zip_Code|
HTLN3|HERMIT LAKE SNOWPLOT|44.26130|-71.28330|1151 meters|snowdepth|2024-02-27 10|88.900|cm|00176|
CRNN3|CARTER NOTCH|44.25940|-71.19550|1008 meters|snowdepth|2024-02-27 12|76.200|cm|00168|
MWN|MOUNT WASHINGTON|44.26670|-71.30000|1715 meters|snowdepth|2024-02-27 12|73.660|cm|00176|
KMWN|MOUNT WASHINGTON|44.26666|-71.30000|1715 meters|snowdepth|2024-02-28 00|73.660|cm|00176|
GKBN3|GRAY KNOB|44.33260|-71.30930|1329 meters|snowdepth|2024-02-27 12|73.660|cm|00181|
ZFHN3|ZEALAND FALLS HUT|44.19590|-71.49440|805 meters|snowdepth|2024-02-27 12|58.420|cm|03574|
CAWN3|CRAWFORD NOTCH|44.21960|-71.41270|581 meters|snowdepth|2024-02-27 12|55.880|cm|03598|
APPV1|APPALACHIAN GAP|44.21060|-72.93170|736 meters|snowdepth|2024-02-27 19|55.880|cm|05673|
HGHN6|HIGHMARKET|43.60510|-75.55430|552 meters|snowdepth|2024-02-27 11|48.260|cm|13325|
ME-FR-2|TEMPLE 1.8 W, ME|44.68329|-70.26420|361 meters|snowdepth|2024-02-27 12|46.990|cm|04984|
ROXV1|ROXBURY GAP|44.10950|-72.78750|729 meters|snowdepth|2024-02-27 18|45.720|cm|05674|
LLHN3|LONESOME LAKE HUT|44.13820|-71.70310|846 meters|snowdepth|2024-02-27 12|45.720|cm|03251|
GHMN3|PINKHAM NOTCH|44.25800|-71.25250|620 meters|snowdepth|2024-02-27 11|45.720|cm|00177|
MMSV1|MOUNT MANSFIELD|44.53330|-72.83330|697 meters|snowdepth|2024-02-28 00|40.640|cm|05489|
KNCM1|KNOWLES CORNER - MCOOP|46.20780|-68.31420|332 meters|snowdepth|2024-02-27 15|39.116|cm|00137|
WLDV1|WILDCAT ROAD|43.69250|-72.87420|558 meters|snowdepth|2024-02-27 12|38.100|cm|05737|
